pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,13.1,1,0,0,0
-2,0.5,7,0,0,0
-3,13.5,14,0,0,0
1,0,0,10.9031,4.4104,15.8483
2,2,0,9.8661,5.4741,14.2177
3,4,0,7.0274,5.1862,14.4895
4,6,0,5.2422,7.8313,13.2118
5,8,0,3.4538,8.1741,11.0383
6,10,0,2.1848,9.6304,10.3887
7,12,0,0.9233,12.4714,12.3175
8,13.5,0,0.6147,12.1197,11.8465
9,13.5,2,1,11.4480,10.3393
10,12,2,0.6542,10.2644,11.1844
11,10,2,2.2251,11.0479,10.0570
12,8,2,3.1572,9.1298,10.0926
13,6,2,7.1458,6.5904,10.4586
14,4,2,10.1636,4.6727,12.7223
15,2,2,12.0617,5.2916,12.7392
16,0,2,12.5714,5.5622,15.2797
17,0,4,10.5720,2.5766,15.1074
18,2,4,8.8965,1.5594,10.9206
19,4,4,7.2371,4.3307,9.8080
20,6,4,5.2981,4.8338,10.6274
21,8,4,3.8071,6.7218,10.1040
22,10,4,2.3354,8.7461,8.4266
23,12,4,1.9727,11.2201,9.9151
24,13.5,4,2.2504,12.8061,9.5857
25,13.5,6,3.1395,11.8509,6.9163
26,12,6,2.8599,10.9259,7.3904
27,10,6,3.3154,9.0004,6.3327
28,8,6,4.8304,6.5980,6.2245
29,6,6,6.1996,4.0245,7.6996
30,4,6,7.7956,3.8514,11.8109
31,2,6,10.7209,1.5672,13.7282
32,0,6,10.7731,1,12.4812
33,0,8,11.9367,1,13.4054
34,2,8,12.7309,1.4458,12.6879
35,4,8,8.3613,1.8817,9.0870
36,6,8,7.4952,2.5745,8.2014
37,8,8,5.0551,4.3943,6.5109
38,10,8,5.7622,6.4820,3.9634
39,12,8,6.3041,8.7342,4.5503
40,13.5,8,6.4657,11.7995,5.1208
41,13.5,10,6.7933,10.4987,1.9641
42,12,10,5.8989,11.2851,2.1862
43,10,10,8.4451,9.5852,2.8524
44,8,10,10.6109,4.7148,3.6656
45,6,10,10.5360,4.6289,7.1417
46,4,10,11.1534,3.5906,9.6303
47,2,10,13.5513,1.7812,12.1178
48,0,10,13.3782,2.7413,15.2245
49,13.5,12,10.3072,10.9121,1.5982
50,12,12,11.0886,9.9412,1.2975
51,10,12,8.5610,7.9279,2.8240
52,10,14,10.7882,10.9102,2.4481
53,12,14,12.9026,15.1848,1.3239
54,13.5,14,14.0541,14.8738,0
55,6,12,11.6704,5.6158,7.1036
56,6,14,13.6761,9.5780,6.5410
57,4,14,15.7967,6.5227,8.1394
58,2,14,15.2349,5.5567,10.4163
59,4,12,14.5960,5.6473,10.0050
60,2,12,15.2473,4.4496,12.1210
