pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,13.1,1,0,0,0
-2,0.5,7,0,0,0
-3,13.5,14,0,0,0
1,0,0,9.2790,4.3273,13.6411
2,2,0,8.2635,5.3527,12.1189
3,4,0,6.1752,5.0940,12.3868
4,6,0,5.2127,7.4558,11.3668
5,8,0,3.4467,7.6231,9.7667
6,10,0,2.1848,9.0241,9.2086
7,12,0,0.9233,10.3336,10.1328
8,13.5,0,0.6147,10.7808,9.6622
9,13.5,2,0.5,10.0244,9.1966
10,12,2,0.6542,9.0965,10.0444
11,10,2,2.2251,10.0363,8.8962
12,8,2,3.1572,8.2345,9.0960
13,6,2,6.6943,6.4684,9.3334
14,4,2,9.0142,4.6152,10.6280
15,2,2,10.5252,5.2097,10.5519
16,0,2,10.7213,5.4060,13.4131
17,0,4,9.4487,2.5766,13.1189
18,2,4,7.5720,1.5594,9.8411
19,4,4,6.5657,4.3165,8.3168
20,6,4,5.1319,4.7654,9.4083
21,8,4,3.7598,6.2571,9.0142
22,10,4,2.3354,7.7360,7.2597
23,12,4,1.9727,9.6142,8.7156
24,13.5,4,2.2504,10.9679,8.6624
25,13.5,6,3.1395,10.0066,6.6073
26,12,6,2.8599,9.5457,6.7603
27,10,6,3.3154,7.9569,5.8926
28,8,6,4.7505,6.3143,5.9159
29,6,6,5.7690,3.9959,6.9060
30,4,6,6.8749,3.8422,10.3410
31,2,6,8.9665,1.5672,11.8440
32,0,6,9.9266,0.5,11.3391
33,0,8,10.0791,0.5,11.9128
34,2,8,11.0702,1.4458,11.1934
35,4,8,7.8921,1.8817,8.4392
36,6,8,6.7944,2.5716,7.2270
37,8,8,8.6,4.3390,6.2947
38,10,8,5.5771,5.8451,3.9452
39,12,8,6.0642,7.9640,4.4939
40,13.5,8,6.1933,10.4968,5.0040
41,13.5,10,6.5480,9.2097,1.9641
42,12,10,5.6366,9.6585,2.1862
43,10,10,7.3905,8.4165,2.8473
44,8,10,8.9909,4.7146,3.6397
45,6,10,9.3702,4.5989,6.7242
46,4,10,10.6077,3.5812,9.3811
47,2,10,11.6390,1.7812,10.8251
48,0,10,11.2128,2.7413,12.9824
49,13.5,12,9.0401,9.1298,1.5982
50,12,12,9.4534,8.8540,1.2975
51,10,12,7.9317,7.7596,2.8231
52,10,14,9.4399,9.9389,2.4481
53,12,14,11.1165,12.9208,1.3239
54,13.5,14,11.9311,13.0329,0.5
55,6,12,10.1449,5.4588,6.5099
56,6,14,11.9801,8.6427,6.3278
57,4,14,13.9247,5.7553,7.5876
58,2,14,15.1033,5.2963,8.9699
59,4,12,12.6588,5.1862,9.3251
60,2,12,13.1555,4.4044,10.8253
