pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,10.3,3,0,0,0
-2,-1,1,0,0,0
-3,0,12.5,0,0,0
1,0,0,7.3809,0.7027,7.6578
2,0,2,7.7215,0.9058,8.6583
3,0,4,8.7365,2.0262,5.5875
4,0,6,10.2578,4.3250,3.9539
5,0,8,10.7986,6.0604,3.6260
6,0,10,11.2486,9.0788,1.6393
7,0,12,14.4850,8.9629,0.5
8,1,9,11.9322,5.3304,1.9412
9,2,9,8.7159,6.0577,4.6644
10,4,9,6.8284,7.2671,8.9146
11,5,9,7.5790,10.1227,6.3606
12,5,10,10.1587,8.3280,5.9074
13,5,11,9.9532,9.4662,4.0900
14,6,11,10.6758,8.7286,5.8646
15,7,11,8.6024,12.4030,6.6371
16,2,8,10.5712,5.6132,4.3525
17,2,7,9.1380,5.4658,6.0032
18,2,6,8.1482,4.4155,6.3119
19,2,5,8.2195,3.4096,5.4191
20,1,5,8.1778,2.6738,4.8596
21,-1,4,10.2085,1.7204,6.6287
22,-1.5,6,9.7372,4.7559,4.9213
23,-1.5,2,9.1853,0.7082,9.3973
24,-1.5,0,9.3175,0.5585,10.0335
25,1,1,7.2425,2.0379,7.2913
26,3,1,5.8737,3.9701,9.7304
27,5,1,4.1330,3.9254,11.5034
28,7,1,3.2404,5.3778,13.1196
29,9,1,1.4669,7.3618,13.1665
30,9,3,0.5,2.0568,11.8200
31,9,4.5,2.5333,9.6130,12.6953
32,7,4.5,1.7475,7.9694,9.1304
33,7,2.5,2.7955,6.3814,13.5466
34,4,2.5,5.0634,4.1596,8.3245
35,3,2.5,5.7676,3.4555,9.2687
36,1,2.5,7.1583,2.3259,9.2989
