pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,10.3,3,0,0,0
-2,-1,1,0,0,0
-3,0,12.5,0,0,0
1,0,0,8.4062,0.7027,9.1897
2,0,2,8.5253,0.9058,9.4750
3,0,4,9.9251,2.0262,5.8311
4,0,6,11.6353,4.4255,4.0988
5,0,8,10.7986,6.1252,3.6454
6,0,10,13.0811,10.1772,1.6393
7,0,12,16.4091,10.1424,0
8,1,9,11.9322,5.4032,1.9412
9,2,9,10.3165,6.2184,4.6955
10,4,9,7.2235,7.9374,9.5018
11,5,9,7.8458,11.4669,6.5785
12,5,10,11.8870,9.1054,6.0794
13,5,11,11.4508,10.3258,4.0982
14,6,11,11.0628,9.3958,5.8837
15,7,11,9.8447,13.6006,7.0287
16,2,8,11.5582,5.7280,4.4382
17,2,7,10.8844,5.5848,6.0660
18,2,6,8.5094,4.5628,6.6862
19,2,5,9.0640,3.4117,5.6516
20,1,5,9.1210,2.6738,4.8838
21,-1,4,12.1868,1.7204,6.7745
22,-1.5,6,11.6720,5.0229,4.9953
23,-1.5,2,11.1483,0.7082,10.4553
24,-1.5,0,11.1888,0.5585,10.8913
25,1,1,8.1220,2.0379,7.6558
26,3,1,6.3114,4.0042,10.7457
27,5,1,4.3329,3.9584,12.7562
28,7,1,3.2404,5.7325,15.6800
29,9,1,1.4669,8.2344,15.5692
30,9,3,1,2.0568,13.4756
31,9,4.5,2.5333,10.1051,14.9895
32,7,4.5,1.7475,8.6357,10.2176
33,7,2.5,2.7956,6.6107,15.5041
34,4,2.5,5.1331,4.2094,8.9122
35,3,2.5,6.2734,3.4565,10.6355
36,1,2.5,7.8272,2.3259,9.9397
