pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,6,6,0,0,0
-2,-6,2,0,0,0
-3,-6.5,15,0,0,0
1,0,0,6.1211,4.0218,13.1466
2,0,3,4.0889,4.0065,11.4192
3,0,6,4.7643,5.8559,10.5623
4,0,9,4.7801,7.0716,6.9478
5,0,11,5.0320,9.8444,5.6116
6,0,12,6.9379,10.6931,8.7608
7,0,13,6.1027,11.8097,7.4978
8,-2,12,8.4249,9.5396,3.1244
9,-4,12,8.9883,8.8216,3.2127
10,-6,12,12.1768,9.1178,1.3176
11,-6,6,11.4058,3.1933,6.3839
12,-3,6,6.8298,2.5527,7.7104
13,-3,4,14.2030,1.0133,8.3441
14,-2,1,9.0422,4.4847,18.6304
15,-4,1,11.2087,1.9385,11.2340
16,-6,1,12.0083,0.5559,9.7601
17,2,1,4.0369,5.8489,18.8550
18,4,1,5.1228,9.4710,17.1146
19,6,1,7.6580,10.7203,16.7122
20,6,6,0,9.4843,14.2595
21,2,11,5.2026,11.8268,8.4997
22,4,11,4.8524,13.7799,12.3091
23,6,11,6.7020,13.0512,14.0244
24,0,7.5,6.5922,9.9946,6.9316
25,3.2500,7.5,2.1544,9.0893,12.9324
26,-3.2500,7.5,11.2472,4.6310,5.0811
