pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,6,6,0,0,0
-2,-6,2,0,0,0
-3,-6.5,15,0,0,0
1,0,0,3.4123,1.1453,10.6747
2,0,3,1.7110,2.2149,8.6648
3,0,6,2.1243,1.2431,7.3383
4,0,9,2.0846,3.5538,4.2062
5,0,11,1.0320,6.4909,2.9973
6,0,12,4.2447,6.5483,8.7608
7,0,13,3.2557,8.4289,4.0313
8,-2,12,5.7675,6.0121,1.6927
9,-4,12,6.1936,4.6233,1.0414
10,-6,12,9.6960,5.7529,0.5
11,-6,6,8.7402,1.3775,3.3227
12,-3,6,3.8763,1.1199,4.7856
13,-3,4,11.4253,0.5,5.1365
14,-2,1,6.0724,1.5438,15.6473
15,-4,1,8.2216,0.5235,7.0527
16,-6,1,8.5805,0.5,5.6680
17,2,1,1.8764,1.9237,16.2312
18,4,1,1.8125,6.6567,13.4622
19,6,1,4.3515,7.5542,13.6540
20,6,6,0.5,6.0661,11.3376
21,2,11,2.2858,8.9395,5.1179
22,4,11,4.1630,11.8805,8.9337
23,6,11,3.5911,9.6501,11.0620
24,0,7.5,3.9222,6.9496,4.0550
25,3.2500,7.5,0.5,6.1936,10.1431
26,-3.2500,7.5,7.4544,2.6334,2.2867
